order,target_feature,ground_truth,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit,n,protocol,loss,calibrated,context_feature
2.0,a2,informative,"('a5',)",null_swap_monks1_raw.csv,5.979661290867196e-05,0.006875810892308097,0.0006348871402751273,-0.000850699692356732,0.0013384134865415198,5,5,0,25,repeat_mean,,,,,
2.0,a2,informative,"('a6',)",null_swap_monks1_raw.csv,0.00062266554246318,0.007290296263723582,0.001690059850590945,-0.0027843373046516754,0.0028659645069763076,5,5,0,25,repeat_mean,,,,,
2.0,a3,noise,"('a1',)",null_swap_monks1_raw.csv,-0.0031519958651970398,0.005547115688189745,0.0007161916635280308,-0.00441939057420364,-0.00188460115619044,5,5,0,25,repeat_mean,,,,,
2.0,a3,noise,"('a2',)",null_swap_monks1_raw.csv,-0.002386683185955516,0.004851503168049976,0.0007167106301144248,-0.003427879738733268,-0.000948211745799092,5,5,0,25,repeat_mean,,,,,
2.0,a3,noise,"('a4',)",null_swap_monks1_raw.csv,-0.0007722886279184601,0.004141077933808522,0.0010101760354522774,-0.0025735877456663477,0.001029010489829428,5,5,0,25,repeat_mean,,,,,
2.0,a3,noise,"('a5',)",null_swap_monks1_raw.csv,-0.00228024938821938,0.005408048811838958,0.0008288352735296794,-0.0036614277687793315,-0.000899071007659428,5,5,0,25,repeat_mean,,,,,
2.0,a3,noise,"('a6',)",null_swap_monks1_raw.csv,-0.0019936106555865593,0.00394529391001075,0.000890372195488129,-0.0036010596654317993,-0.000424507914650372,5,5,0,25,repeat_mean,,,,,
2.0,a4,noise,"('a1',)",null_swap_monks1_raw.csv,-0.002778968193534524,0.006829535981691853,0.0012585566431817454,-0.005001814562941612,-0.000611361011508324,5,5,0,25,repeat_mean,,,,,
2.0,a4,noise,"('a2',)",null_swap_monks1_raw.csv,-0.004159162604213701,0.008162852788549921,0.0018706761248220606,-0.007794064822272353,-0.0015044042944342448,5,5,0,25,repeat_mean,,,,,
2.0,a4,noise,"('a3',)",null_swap_monks1_raw.csv,-0.00234878912020026,0.0055781065745622105,0.0009531104620628758,-0.004021392817319932,-0.0006845433630412801,5,5,0,25,repeat_mean,,,,,
2.0,a4,noise,"('a5',)",null_swap_monks1_raw.csv,-0.00789497768150162,0.008481724997330216,0.0008593580046239094,-0.009258869988678827,-0.006179419229483192,5,5,0,25,repeat_mean,,,,,
2.0,a4,noise,"('a6',)",null_swap_monks1_raw.csv,-0.0025337750621695922,0.00642261983625434,0.0011298003338426515,-0.0043268704983672485,-0.00044541689216106407,5,5,0,25,repeat_mean,,,,,
2.0,a5,informative,"('a1',)",null_swap_monks1_raw.csv,0.09364139701303589,0.02422689519106624,0.0024849313344673446,0.08917265567468832,0.09755976166686857,5,5,0,25,repeat_mean,,,,,
2.0,a5,informative,"('a2',)",null_swap_monks1_raw.csv,0.09464816609069086,0.025828786519174515,0.003060559460366422,0.08889977492500431,0.09995934146157155,5,5,0,25,repeat_mean,,,,,
